poem,theme
"I was sympathetic to language, but often it shrugged me and kept other lovers. I crawled through the commas of   Romanticism and rejected the rhythms, though sometimes at night I could feel a little sad. I could emerge now  into a new kind of style, but the market  is already flooded and my people have lost faith in things meant to land  a clear yes or no. It’s good to welcome a stranger into the house. Introduce her to everyone sitting at the table and wash  your hands before you serve her, lest the residue of other meals affect your  affections. “If something is beautiful we do  not even experience pain as pain.” (A man said that.) “I think I owe all words to my friends.” (I said that.) “We speak to one another  in circles alone with ourselves.” (He said  that, too.) That’s why we go to war. We’ve gotten too big to be friends with  everyone and so I like to feel the fellowship of the person next to me shooting out across a foreign plain. The streams  of light on the horizon are something I share with him and this is also a feeling of love. I spoke to his widow and touched  his dog. I told his daughter how his last breath was Homeric and spoke of nothing but returning home. The way I’m strapped into myself I can’t escape. Wake up and be a better person! Clip your toenails, and by sun-rise make sure  you’re sitting at the table reading Arendt.  With a little focus I could become everything I ever wished to be: level-headed and buoyed,  a real (wo)manIncapable of limiting themselves to petty offenses, my hands broke into my chest and choked every slumbering deity.  ",Love
"When, at the end, the children wanted  to add glitter to their valentines, I said no.   I said , and then,  when they started to fuss, I found myself   saying something my brother’s football coach  used to bark from the sidelines when one   of his players showed signs of being  human:   That’s what I said to my children.   my daughter asked,   and, because she is so young, I told her  I didn’t know and never mind, and she took   that for an answer. My children are so young  when I turn off the radio as the news turns   to counting the dead or naming the act,  they aren’t even suspicious. My children   are so young they cannot imagine a world  like the one they live in. Their God is still   a real God, a whole God, a God made wholly  of actions. And I think they think I work   for that God. And I know they will someday soon  see everything and they will know about   everything and they will no longer take  never mind for an answer. The valentines   would’ve been better with glitter, and my son  hurt himself on an envelope, and then, much   later, when we were eating dinner, my daughter  realized she’d forgotten one of the three   Henrys in her class. I said, and she said,   And so, before bed we took everything out  again—paper and pens and stamps and scissors—  and she sat at the table with her freshly washed hair  parted smartly down the middle and wrote    and she did it  so carefully, I could hardly stand to watch. ",Love
"turns out there are more planets than stars more places to land than to be burned  I have always been in love with last chances especially  now that they really do  seem like last chances  the trill of it all upending what’s left of my head after we explode  are you ready to ascend in the morning I will take you on the wing A lone cloudburst hijacked the Doppler radar screen, a bandit hung from the gallows, in rehearsal for the broke-necked man, damn him, tucked under millet in the potter's plot. Welcome to disaster's alkaline kiss, its little clearing edged with twigs, and posted against trespass. Though finite, its fence isWe know from accounts of the judgment of Paris how Love took first:  the apple burnished by—it turns out—her own husband, working the bellows, forging to Discord's specifications, herThe human brain wants to complete—  The poem too easy? Bored. The poem too hard? Angry. What’s this one about? Around the block the easy summer weather, the picture-puff clouds adrift in the blue sky that’s no paint-by-numbers.   In the corner garden, the cabbage butterfly bothers the bigGinkgo, cottonwood, pin oak, sweet gum, tulip tree: our emotions resemble leaves and alive to their shapes we are nourished.  Have you felt the expanse and contours of grief along the edges of a big Norway maple? Have you winced at the orange flare  searing the curves of a curling dogwood? I",Love
"We walk through clouds wrapped in ancient symbols  We descend the hill wearing water   Maybe we are dead  and don’t know it  Maybe we are violet flowers and those we long for   love only  our unmade hearts    Wait for Duras and Eminescu  to tell us in French then Romanian     Wait until the nails get rusty  in the houses of our past. When the white trees are no longer in sight they are telling us something, like the body that undresses when someone is around, like the woman who wants to read what her nude curves are trying to say, of what it was to be together, lips on lips but it's over now, the town we once loved in, the maps we once drewBy the river Genil lovers sing what belongs to the water, a shoemaker sings the dream he had, his helper the dream he didn't, a man sings to the woman on the broken mattress, death at midday sings, on the banks of the Darro a blind thief collecting golden poplars sings, and so does the crevice of quivers, the  I was born in Nogales, Arizona, On the border between  Mexico and the United States.  The places in between places They are like little countries Themselves, with their own",Love
"Love me stupid. Love me terrible. And when I am no mountain but rather a monsoon of imperfect thunder love me. When I am blue in my face from swallowing myself yet wearing my best heart even if my best heart is a century of hunger an angry mule breathing hard or perhaps even hopeful. A small sun. Little & bright. The fern gathers where the water seldom goes unless the storms swell this world of wise choices, the loud trickle of clear tongues of the stream licking the edges of rock, while up ahead a curve hides tomorrow from our crystal ball, the thing we are afraid to admit we have, the guarantee we",Love
"In the bronze skin of your rain-mottled angel of immigration who looks forward   with a faux diamond clasp   of upward mobility on her watery clavicle,   inner rain called is shining—  a frayed chrome-polishing   rag on a bicycle while the fig tree  loses its foliage due to a blight called . Dear millennium,   destined to be a girl,  an artist not engineer,  you’ve never fallen in love. (Do you even believe?) Centuries,   this peace offering—  a non-fruiting olive   transplanted   after your lavender died of root-rot   on a winter afternoon in the north.  (Day after a sea storm, holy  and granular—   bayside hailing clean off the rim, napthlalene   stored in mothless boxes of air,  of agelessness, hybrid tea-roses, and rocket fuel.)   Ear-shaped, honey-combed morels  flourish by the rosemary, edible yet uneaten—   dearly so, as evidence    all its charismatic splendor, is a room   of meticulous self-reform,   noxious blue-eyed madness  of the dead.) For this reason, your ancestors   wished to sail on a ship around a landform    is written tenderly in the dregs of the earth.)  Dear millennium, see how immigrants   yearn for departure not extravagance,  freedom with a notion of rootedness   or nesting.  In doing so, this generational reimagining, dear millennium—  you are cured of nothing   yet everything at once. ",Love
"I climbed a mountain and the air constricted breathing— the terrain of the free spirit, that creature so dedicated to surmounting that the mountain, its hanging glacier, its granite slabs cut through by the trail, its heaps of rocks blocking reasonable access to the turquoise lake beneath, its wildflowers with their fraying lackadaisical paintbrushes, went by in my eyes so quickly I never truly left the not-yet-turning aspens, carved by local lovers who loved themselves so much they stayed right there with their knives until they finished their names. I remembered what it was like, knowing what you want to eat and then making it, forgetting about the ending in the middle, looking at the ocean for  a long time without restlessness, or with restlessness not inhabiting the joints, sitting Indian style on a porch overlooking that water, smooth like good cake",Love
"You could smell the day’s heat even before the day began.  Constant trickle, endless green trees flanking the highway:  summer had come back. Scattered trash  on the apartment landing. Everyone passed by it. Everyone felt it belonged to someone else.   Grey fog, blue sunlight, stones like big footprints in a wavering line across a lawn. Everyone was talking about a new song  in relation to the old: Standing on the porch  just before the drizzle,  fiercely missing my sister, how we used to take the bag  of cut grass from the lawnmower  and empty it over our bodies like rain.   Days lost between the clock and my phone: I made coffee, I brushed the cat, I went to work, I knew the time it took to go from one room to another  to collect my ironed shirt. I kept looking back  to isolate individual moments, asking why didn’t I give myself more fully to that  friend, that stranger, that drinking, those days. I remembered Kira and Chicago,  looked hurt. I watched a chained dog strain at every passerby. I thought,   Meanwhile, I’d gotten older. I’d grown  accustomed to my body.  I could sit with my shirt off on a hot day and not think about how my body looked  or how I felt inside it.  Cutting my hair the barber said,   I liked her phrasing. I walked forever. I was trying not to revise history to make my present life make sense. Raised voices; faded t-shirts left in boxes on the street.  Such strange intimacies.  The telephones ringing  in the houses as I passed.  ",Love
"   Dearest Mother, what becomes of the girl no longer a girl?  The stretch marks from my once breasts have migrated   to their new tectonic  flats. But you can always find   hints of what used to be.  Trust me, it is more beautiful   this way,",Love
"The night comes down, in ever-darkening shapes that seem— To grope, with eerie fingers for the window—then— To rest to sleep, enfolding me, as in a dream  Faith—might I awaken!   And drips the rain with seeming sad, insistent beat. Shivering across the pane, drooping tear-wise, And softly patters by,Twilight—and you Quiet—the stars;  Snare of the shine of your teeth,  Your provocative laughter,  The gloom of your hair;  Lure of you, eye and lip;  Yearning, yearning,  Languor, surrender;  Your mouth,  And madness, madness,  Tremulous, breathless, flaming,  The space of a sigh;  Then",Love
"  My love is as ancient as my blood.   And of course my blood is still mine   because a woman, sweetened black   with good song, pulled me from the river   like an axe pulled back from the bark.   I learned , first, as .   And of course my love is only mine   because I found the nerve to say it is.   .   But was first my mother’s. Not the    but the . But was first her mother’s.   Not the but the .      I am bored with this beat. I seek   a different dance toward death.   Lord, listen up. Lean in:   I crave a love that happens as sweetly   as it was named. If love must be swung,   let it soften. Not split. A second death in as many days and I succeed at being  Strong and contained, until the tweet  Where one young brother says I’m not scared of dying, I’m scared of breaking my mother’s heart. I am flesh Two rooms down the hall from my mother’s flesh imagine your heart is just a ball you learned to dribble up and down the length of your driveway back home. slow down  control it. plant your feet in the soft blue of your mat and release it is hard but slowly you are unlearning the shallow pant  of your childhood. extend your body—do notThis fireman comes every afternoon to the café on the corner dressed for his shift in clean dark blues This time it’s the second Wednesday of January and he’s meeting his daughter again who must be five or six and who is always waiting for her father like this in her charcoal gray plaid",Love
"When the lad for longing sighs,  Mute and dull of cheer and pale, If at death’s own door he lies,  Maiden, you can heal his ail.  Lovers’ ills are all to buy:  The wan look, the hollow tone, The hung head, the sunken eye,  You can have them for your own.  But them, buy them: eve and morn  Lovers’ ill are all to sell. Then you can lie down forlorn;  but they lover will be well.  Oh see how thick the goldcup flowers  Are lying in field and lane, With dandelions to tell the hours  That never are told again. Oh may I squire you round the meads  And pick you posies gay? —’Twill do no harm to take my arm.  ‘You may, young man, you may.’  Ah, spring was sent for lass and lad,  ’White in the moon the long road lies,   The moon stands blank above;  White in the moon the long road lies   That leads me from my love.    Still hangs the hedge without a gust,  Still, still the shadows stay:  My feet upon the moonlit dust   Pursue the ceaseless way.    The world is round, so‘Farewell to barn and stack and tree,  Farewell to Severn shore. Terence, look your last at me,  For I come home no more.  ‘The sun burns on the half-mown hill,  By now the blood is dried; And Maurice amongst the hay lies still  And my knife is in his side.  ‘My mother thinks us long away;  ’Tis",Love
"When the bottle of hot sauce shattered in the kitchen he stood in the doorframe, shook his head at the mess.   Not worried if I was injured, mostly curious at what else it was I’d broken.   You are so clumsy with the things you hold, he never said.   The red stain on my chest bloomed pungent, soaked any apology.   I used his shirt, the one I slept in, to wipe the counter and pale-colored kitchen floor.   That night and the next for a straight week as he prepared boxes to leave   I hunched and scrubbed the tiles. Couldn’t rid myself of the things that I’d sullied, of the look he left behind. Yesterday, the final petal curled its soft lure into bone.  The flowerhead shed clean, I gathered up your spine  and built you on a dark day. You are still missing  some parts. Each morning, I curl red psalms into the shells  Pleasure is black.  I no longer imagine   where my body  stops or begins.  Skin transparent. Face speckled  by the spit of several centuries.  All the borders stare at the same fires.  Oh Mamere,   I'm sorry.  Here I am. ",Love
"Staring at the stars, I imagine you vanished and dispersed in that unreachable clarity of light. They glisten, sharp and cold, vast distances apart yet coming to their marks the same time every night of their season.  The seasons slowly move, carrying their forms— I recognize so few: Orion with his belt dominating winter, a wobbly W, the dipper’s angled box and handle, each bright dot individually jeweled there.  Nothing there is fixed, not even that clear star that seems always to point just one way as it speeds farther and farther off. All of them are whirling on their separate paths, circles and ellipses, poles of radiance that spread the dark.  What can be made of that? If you are nothing now but memory, the stars seem a proper home. Long after the sun swells to disperse the earth, they’ll change as you have, light vanishing with time, light beyond the reach of light itself.  Staring at the light an explosion sent from some place nowhere now, I know it will outlast whatever I become. Imagining its end, I see it moving still when nothing can be seen and we are both nothing everywhere. ",Love
